Region,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Region.1,longitude,latitude,Month
Andhra Pradesh, M,5.48,16635535,41.02,South,15.9129,79.74,1
Andhra Pradesh, M,5.83,16545652,40.9,South,15.9129,79.74,2
Andhra Pradesh, M,5.79,15881197,39.18,South,15.9129,79.74,3
Andhra Pradesh, M,20.51,11336911,33.1,South,15.9129,79.74,4
Andhra Pradesh, M,17.43,12988845,36.46,South,15.9129,79.74,5
Andhra Pradesh, M,3.31,19805400,47.41,South,15.9129,79.74,6
Andhra Pradesh, M,8.34,15431615,38.91,South,15.9129,79.74,7
Andhra Pradesh, M,6.96,15251776,37.83,South,15.9129,79.74,8
Andhra Pradesh, M,6.4,15220312,37.47,South,15.9129,79.74,9
Andhra Pradesh, M,6.59,15157557,37.34,South,15.9129,79.74,10
Assam, M,4.66,13051904,52.98,Northeast,26.2006,92.9376,1
Assam, M,4.41,10088268,40.77,Northeast,26.2006,92.9376,2
Assam, M,4.77,11542888,46.73,Northeast,26.2006,92.9376,3
Assam, M,11.06,6830817,29.55,Northeast,26.2006,92.9376,4
Assam, M,9.55,11367897,48.26,Northeast,26.2006,92.9376,5
Assam, M,0.6,9095944,35.07,Northeast,26.2006,92.9376,6
Assam, M,3.77,10286757,40.88,Northeast,26.2006,92.9376,7
Assam, M,5.53,9781310,39.52,Northeast,26.2006,92.9376,8
Assam, M,1.19,14107641,54.38,Northeast,26.2006,92.9376,9
Assam, M,3.02,11949329,46.84,Northeast,26.2006,92.9376,10
Bihar, M,10.61,26397671,37.72,East,25.0961,85.3131,1
Bihar, M,10.29,26281655,37.35,East,25.0961,85.3131,2
Bihar, M,15.43,25717519,38.69,East,25.0961,85.3131,3
Bihar, M,46.64,16046236,38.17,East,25.0961,85.3131,4
Bihar, M,45.96,16280203,38.16,East,25.0961,85.3131,5
Bihar, M,17.82,23963933,36.86,East,25.0961,85.3131,6
Bihar, M,12.79,24989370,36.14,East,25.0961,85.3131,7
Bihar, M,13.44,23795534,34.59,East,25.0961,85.3131,8
Bihar, M,11.91,26902907,38.35,East,25.0961,85.3131,9
Bihar, M,9.82,25693252,35.7,East,25.0961,85.3131,10
Chhattisgarh, M,9.65,8552172,43.08,West,21.2787,81.8661,1
Chhattisgarh, M,8.38,9195114,45.58,West,21.2787,81.8661,2
Chhattisgarh, M,7.54,9302317,45.59,West,21.2787,81.8661,3
Chhattisgarh, M,3.41,7600448,35.58,West,21.2787,81.8661,4
Chhattisgarh, M,10.5,6991217,35.23,West,21.2787,81.8661,5
Chhattisgarh, M,14.23,7332807,38.48,West,21.2787,81.8661,6
Chhattisgarh, M,10.27,8620294,43.14,West,21.2787,81.8661,7
Chhattisgarh, M,5.63,9050422,42.97,West,21.2787,81.8661,8
Chhattisgarh, M,1.96,9021854,41.14,West,21.2787,81.8661,9
Chhattisgarh, M,6.62,8546847,40.82,West,21.2787,81.8661,10
Delhi, M,22.23,5805284,47.79,North,28.7041,77.1025,1
Delhi, M,14.84,5856307,43.92,North,28.7041,77.1025,2
Delhi, M,17.04,5553805,42.65,North,28.7041,77.1025,3
Delhi, M,16.68,3119274,23.8,North,28.7041,77.1025,4
Delhi, M,42.27,2632404,28.91,North,28.7041,77.1025,5
Delhi, M,18.19,4418914,34.17,North,28.7041,77.1025,6
Delhi, M,20.3,4291053,33.97,North,28.7041,77.1025,7
Delhi, M,13.79,4850107,35.41,North,28.7041,77.1025,8
Delhi, M,12.53,4958373,35.59,North,28.7041,77.1025,9
Delhi, M,6.27,4842698,32.36,North,28.7041,77.1025,10
Goa, M,8.89,416750,35.73,West,15.2993,74.124,1
Goa, M,2.81,478068,38.38,West,15.2993,74.124,2
Goa, M,5.25,411761,33.88,West,15.2993,74.124,3
Goa, M,13.31,500614,44.97,West,15.2993,74.124,4
Goa, M,21.25,378244,37.36,West,15.2993,74.124,5
Goa, M,9.96,489111,42.21,West,15.2993,74.124,6
Goa, M,17.07,458876,42.94,West,15.2993,74.124,7
