Region,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Year,Area_Rural,Area_Urban
Andhra Pradesh, Monthly,3.65,11999139,43.24,2019,1,0
Andhra Pradesh, Monthly,3.05,11755881,42.05,2019,1,0
Andhra Pradesh, Monthly,3.75,12086707,43.5,2019,1,0
Andhra Pradesh, Monthly,3.32,12285693,43.97,2019,1,0
Andhra Pradesh, Monthly,5.17,12256762,44.68,2019,1,0
Andhra Pradesh, Monthly,3.52,12017412,43.01,2019,1,0
Andhra Pradesh, Monthly,4.12,11397681,41.0,2019,1,0
Andhra Pradesh, Monthly,4.38,12528395,45.14,2019,1,0
Andhra Pradesh, Monthly,4.84,12016676,43.46,2020,1,0
Andhra Pradesh, Monthly,5.91,11723617,42.83,2020,1,0
Andhra Pradesh, Monthly,4.06,11359660,40.66,2020,1,0
Andhra Pradesh, Monthly,16.29,8792827,36.03,2020,1,0
Andhra Pradesh, Monthly,14.46,9526902,38.16,2020,1,0
Andhra Pradesh, Monthly,0.85,15572975,53.76,2020,1,0
Assam, Monthly,4.29,11749334,57.39,2019,1,0
Assam, Monthly,5.08,8923222,43.87,2019,1,0
Assam, Monthly,4.26,9911534,48.21,2019,1,0
Assam, Monthly,5.79,9292039,45.83,2019,1,0
Assam, Monthly,4.46,11468349,55.67,2019,1,0
Assam, Monthly,4.65,8395906,40.76,2019,1,0
Assam, Monthly,4.66,9625362,46.64,2019,1,0
Assam, Monthly,4.29,11420996,54.9,2020,1,0
Assam, Monthly,3.26,8462814,40.17,2020,1,0
Assam, Monthly,3.77,9878742,47.05,2020,1,0
Assam, Monthly,9.38,9926176,50.0,2020,1,0
Assam, Monthly,0.0,7544937,34.38,2020,1,0
Bihar, Monthly,9.27,24322330,39.75,2019,1,0
Bihar, Monthly,10.2,24097712,39.71,2019,1,0
Bihar, Monthly,13.44,23248875,39.66,2019,1,0
Bihar, Monthly,11.0,22260203,36.85,2019,1,0
Bihar, Monthly,8.87,23905700,38.57,2019,1,0
Bihar, Monthly,12.47,24053140,40.31,2019,1,0
Bihar, Monthly,12.4,22445989,37.51,2019,1,0
Bihar, Monthly,10.16,22914530,37.25,2019,1,0
Bihar, Monthly,9.13,23409006,37.54,2020,1,0
Bihar, Monthly,9.61,23168192,37.28,2020,1,0
Bihar, Monthly,15.39,22667882,38.88,2020,1,0
Bihar, Monthly,45.09,14645275,38.63,2020,1,0
Bihar, Monthly,47.26,14050319,38.5,2020,1,0
Bihar, Monthly,20.49,20622566,37.4,2020,1,0
Chhattisgarh, Monthly,9.82,6259019,42.89,2019,1,0
Chhattisgarh, Monthly,6.76,6608626,43.71,2019,1,0
Chhattisgarh, Monthly,4.54,6753622,43.53,2019,1,0
Chhattisgarh, Monthly,4.64,6607694,42.55,2019,1,0
Chhattisgarh, Monthly,8.33,6490776,43.38,2019,1,0
Chhattisgarh, Monthly,6.96,7043840,46.28,2019,1,0
Chhattisgarh, Monthly,2.77,6942931,43.56,2019,1,0
Chhattisgarh, Monthly,6.11,6569385,42.59,2019,1,0
Chhattisgarh, Monthly,9.89,6236201,42.03,2020,1,0
